ACCELEROMETRO X (m/s²),ACCELEROMETRO Y (m/s²),ACCELEROMETRO Z (m/s²),GRAVITÀ X (m/s²),GRAVITÀ Y (m/s²),GRAVITÀ Z (m/s²),CAMPO MAGNETICO X (μT),CAMPO MAGNETICO Y (μT),CAMPO MAGNETICO Z (μT),ORIENTAMENTO Z (azimuth °),ORIENTAMENTO X (pitch °),ORIENTAMENTO Y (roll °),LIVELLO SONORO (dB),POSIZIONE Latitudine : ,POSIZIONE Longitudine : ,POSIZIONE Altitudine ( m),POSIZIONE Altitudine-google ( m),POSIZIONE Velocità ( Km/h),POSIZIONE Precisione ( m),POSIZIONE ORIENTAMENTO (°),Satelliti rilevati,Tempo da inizio in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.0412,9.6448,-0.028,-0.0545,9.8067,-0.1362,-14.76,-33.84,32.52,313.17,-89.14,158.2,32.808,39.362232,16.225752,1019.35,741.8794719281817,0.0,9.677419,,12 / 22,10,2016-12-06 18:46:41:436
-0.0029,9.6927,-0.1962,-0.0681,9.8067,-0.1498,-15.06,-34.38,32.58,313.17,-89.14,158.2,32.649,39.362232,16.225752,1019.35,741.8794719281817,0.0,9.677419,,12 / 22,260,2016-12-06 18:46:41:686
-0.0124,9.6735,-0.028,-0.0817,9.8067,-0.1498,-14.76,-34.26,32.58,306.19,-89.0,151.39,42.426,39.362225,16.225752,1019.35,741.8794719281817,1.73,9.677419,164.9,12 / 22,510,2016-12-06 18:46:41:936
0.0259,9.7214,-0.028,-0.0817,9.8067,-0.1498,-14.76,-34.26,32.58,306.19,-89.0,151.39,34.73,39.362225,16.225752,1019.35,741.8794719281817,1.73,9.677419,164.9,12 / 22,760,2016-12-06 18:46:42:186
-0.0316,9.6927,-0.0654,-0.0817,9.8067,-0.1498,-14.64,-34.32,32.58,306.19,-89.0,151.39,34.73,39.362225,16.225752,1019.35,741.8794719281817,1.73,9.677419,164.9,12 / 22,1011,2016-12-06 18:46:42:437
-0.0508,9.6927,-0.0747,-0.0817,9.8067,-0.1362,-14.52,-34.14,32.4,306.19,-89.0,151.39,43.006,39.362225,16.225752,1019.35,741.8794719281817,1.73,9.677419,164.9,12 / 22,1261,2016-12-06 18:46:42:687
-0.0124,9.549,0.1121,-0.0409,9.8067,-0.0953,-15.6,-33.96,32.58,310.51,-89.39,156.8,47.674,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,10 / 20,1510,2016-12-06 18:46:42:936
-0.0699,9.664,-0.2616,-0.0272,9.8067,-0.0953,-16.92,-34.26,32.64,316.43,-89.42,164.05,47.217,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,10 / 20,1760,2016-12-06 18:46:43:186
0.0642,9.9417,-0.7287,-0.0136,9.8067,-0.0817,-16.74,-34.8,32.58,316.42,-89.42,164.05,47.217,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,10 / 20,2010,2016-12-06 18:46:43:436
0.0833,9.2905,0.6633,-0.0136,9.8067,-0.0817,-16.8,-34.98,32.46,322.27,-89.52,170.54,44.875,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,10 / 20,2260,2016-12-06 18:46:43:686
0.3036,9.4437,0.4297,-0.0136,9.8067,-0.0681,-16.74,-34.86,32.7,323.01,-89.52,170.54,48.558,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,12 / 22,2510,2016-12-06 18:46:43:936
0.112,9.8651,-1.1024,-0.0136,9.8067,-0.0681,-16.56,-34.56,32.64,321.2,-89.59,168.69,65.223,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,12 / 22,2761,2016-12-06 18:46:44:187
-0.1274,9.9991,-0.8408,0.0,9.8067,-0.0681,-15.24,-33.12,32.52,324.03,-89.59,168.69,63.57,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,12 / 22,3010,2016-12-06 18:46:44:436
-0.0508,9.8076,-0.7661,0.0,9.8067,-0.0953,-14.58,-32.58,32.7,335.34,-89.44,-180.0,63.57,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,12 / 22,3260,2016-12-06 18:46:44:686
0.0642,9.8172,0.0934,0.0136,9.8067,-0.1634,-15.0,-32.58,32.58,335.31,-89.36,-180.0,64.735,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,11 / 20,3510,2016-12-06 18:46:44:936
0.1312,9.6448,0.2055,0.0136,9.8067,-0.1771,-15.18,-32.52,32.7,339.62,-88.96,-175.6,57.531,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,11 / 20,3760,2016-12-06 18:46:45:186
0.0833,9.2713,-0.3644,0.0272,9.8067,-0.1498,-14.7,-32.64,32.76,344.79,-89.03,-170.54,61.511,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,11 / 20,4010,2016-12-06 18:46:45:436
-0.022,9.8842,0.0934,0.0272,9.8067,-0.1771,-14.58,-32.22,32.46,344.11,-89.03,-170.54,61.511,39.362232,16.225744,1012.9,741.8794719281817,0.0,9.677419,,11 / 20,4260,2016-12-06 18:46:45:686
0.0737,9.5299,-0.682,0.0272,9.8067,-0.1771,-13.98,-31.74,32.28,344.86,-88.95,-171.25,54.555,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,4511,2016-12-06 18:46:45:937
0.0163,9.4916,-0.2616,0.0409,9.8067,-0.1771,-13.14,-31.68,32.52,351.35,-88.94,-167.01,52.541,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,4761,2016-12-06 18:46:46:187
-0.0603,9.8459,0.2055,0.0409,9.8067,-0.1226,-13.02,-32.28,32.64,355.13,-89.17,-163.3,53.709,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,5010,2016-12-06 18:46:46:436
-0.0986,9.8746,0.4578,0.0409,9.8067,-0.0953,-12.36,-31.98,33.06,3.25,-89.39,-156.8,53.709,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,5261,2016-12-06 18:46:46:687
-0.0029,9.4628,-0.654,0.0409,9.8067,-0.109,-12.36,-31.74,33.84,3.79,-89.39,-156.8,52.694,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,5510,2016-12-06 18:46:46:936
0.0067,9.4533,-0.4951,0.0409,9.8067,-0.1362,-12.96,-31.44,34.26,355.72,-89.17,-163.3,54.63,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,5760,2016-12-06 18:46:47:186
-0.0603,9.9034,0.2616,0.0272,9.8067,-0.1362,-12.96,-31.74,34.44,350.82,-89.19,-168.69,53.367,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,6010,2016-12-06 18:46:47:436
0.0163,9.9225,0.5512,0.0136,9.8067,-0.1362,-12.72,-32.28,34.02,344.6,-89.2,-174.29,54.809,39.362232,16.225737,1003.23,741.8794719281817,0.0,9.677419,,11 / 22,6260,2016-12-06 18:46:47:686
-0.0986,9.8459,0.6913,0.0,9.8067,-0.0953,-11.88,-31.8,33.54,340.39,-89.44,-180.0,54.809,39.362236,16.225729,993.55,741.8794719281817,0.0,9.677419,,12 / 22,6511,2016-12-06 18:46:47:937
-0.0124,9.3575,-0.3644,0.0,9.8067,-0.0545,-12.18,-31.74,33.72,340.39,-89.44,-180.0,54.557,39.362236,16.225729,993.55,741.8794719281817,0.0,9.677419,,12 / 22,6761,2016-12-06 18:46:48:187
-0.022,9.5873,-0.1962,-0.0136,9.8067,-0.0272,-12.84,-32.16,33.9,320.5,-89.75,161.57,55.541,39.362236,16.225729,993.55,741.8794719281817,0.0,9.677419,,12 / 22,7010,2016-12-06 18:46:48:436
0.0546,9.4628,-0.5512,-0.0272,9.8067,-0.0136,-12.96,-32.34,33.42,311.81,-89.82,153.43,55.163,39.362236,16.225729,993.55,741.8794719281817,0.0,9.677419,,12 / 22,7260,2016-12-06 18:46:48:686
-0.0603,9.9321,0.4391,-0.0272,9.8067,-0.0136,-13.14,-32.82,33.66,275.48,-89.82,116.57,55.163,39.362232,16.22573,993.55,741.8794719281817,0.0,9.677419,,11 / 21,7511,2016-12-06 18:46:48:937
-0.0316,9.3192,-0.2709,-0.0272,9.8067,-0.0136,-13.62,-32.46,34.44,274.03,-89.82,116.57,54.875,39.362232,16.22573,993.55,741.8794719281817,0.0,9.677419,,11 / 21,7760,2016-12-06 18:46:49:186
-0.0699,9.3575,0.0,-0.0409,9.8067,-0.0136,-13.26,-32.64,33.96,267.28,-89.75,108.43,54.297,39.362232,16.22573,993.55,741.8794719281817,0.0,9.677419,,11 / 21,8011,2016-12-06 18:46:49:437
