ACCELEROMETRO X (m/s²),ACCELEROMETRO Y (m/s²),ACCELEROMETRO Z (m/s²),GRAVITÀ X (m/s²),GRAVITÀ Y (m/s²),GRAVITÀ Z (m/s²),CAMPO MAGNETICO X (μT),CAMPO MAGNETICO Y (μT),CAMPO MAGNETICO Z (μT),ORIENTAMENTO Z (azimuth °),ORIENTAMENTO X (pitch °),ORIENTAMENTO Y (roll °),LIVELLO SONORO (dB),POSIZIONE Latitudine : ,POSIZIONE Longitudine : ,POSIZIONE Altitudine ( m),POSIZIONE Altitudine-google ( m),POSIZIONE Velocità ( Km/h),POSIZIONE Precisione ( m),POSIZIONE ORIENTAMENTO (°),Satelliti rilevati,Tempo da inizio in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0163,19.7118,-0.1775,-0.0136,9.8067,-0.1498,-19.86,-8.64,36.9,331.51,-89.12,-180.0,42.67,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,12,2016-12-07 14:24:58:637
0.0354,9.6831,-0.0934,-0.0136,9.8067,-0.1498,-19.74,-8.4,37.5,326.31,-89.12,174.81,42.67,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,262,2016-12-07 14:24:58:887
0.0067,9.7023,-0.1308,-0.0136,9.8067,-0.1634,-19.08,-9.0,37.26,327.94,-89.04,175.24,41.296,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,512,2016-12-07 14:24:59:137
-0.0699,9.6831,-0.1401,-0.0272,9.8067,-0.1634,-19.44,-9.0,36.96,323.23,-89.03,170.54,41.011,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,762,2016-12-07 14:24:59:387
-0.0029,9.664,-0.0561,-0.0136,9.8067,-0.1634,-19.8,-8.64,36.9,327.94,-89.04,175.24,41.833,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,1012,2016-12-07 14:24:59:637
0.0546,9.6927,-0.0187,-0.0136,9.8067,-0.1634,-20.1,-8.88,36.48,326.06,-89.04,175.24,47.028,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,1262,2016-12-07 14:24:59:887
-0.0508,9.7214,-0.4391,-0.0136,9.8067,-0.1362,-21.42,-9.0,36.66,325.12,-89.12,174.81,47.028,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,1512,2016-12-07 14:25:00:137
-0.0029,9.913,-0.5792,-0.0136,9.8067,-0.1498,-21.24,-8.88,36.78,325.12,-89.12,174.81,45.166,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,1761,2016-12-07 14:25:00:386
0.1312,9.4054,0.1495,-0.0136,9.8067,-0.1498,-21.06,-8.52,37.02,325.12,-89.12,174.81,45.619,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,2012,2016-12-07 14:25:00:637
0.1312,9.6831,-0.355,-0.0136,9.8067,-0.1362,-21.12,-8.04,38.58,325.91,-89.2,174.29,66.002,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,2262,2016-12-07 14:25:00:887
-0.0316,9.4054,0.1028,0.0,9.8067,-0.109,-20.7,-7.5,39.3,324.51,-89.36,172.87,66.002,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,2512,2016-12-07 14:25:01:137
0.2365,9.3575,-0.682,0.0,9.8067,-0.109,-20.22,-7.08,38.7,332.8,-89.36,-180.0,64.4,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,2762,2016-12-07 14:25:01:387
0.0067,9.798,-0.5699,0.0,9.8067,-0.1498,-20.4,-7.56,38.88,332.8,-89.28,-180.0,55.985,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,3012,2016-12-07 14:25:01:637
-0.0603,9.1755,-1.7377,0.0,9.8067,-0.1771,-20.4,-7.62,39.24,332.76,-88.97,-180.0,59.014,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,3262,2016-12-07 14:25:01:887
-0.0316,9.2426,-1.4854,0.0,9.8067,-0.1907,-20.22,-7.26,38.94,332.77,-88.97,-180.0,55.02,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,3511,2016-12-07 14:25:02:136
-0.0316,9.5299,-1.009,0.0,9.8067,-0.1907,-20.76,-7.92,39.24,331.61,-88.97,-180.0,55.02,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,3762,2016-12-07 14:25:02:387
-0.0029,9.4916,-0.7941,0.0,9.8067,-0.2452,-20.1,-7.32,39.18,332.76,-88.89,-180.0,62.125,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,4012,2016-12-07 14:25:02:637
-0.0603,9.8268,0.4111,0.0136,9.8067,-0.3269,-19.92,-7.26,38.94,335.21,-88.17,-177.51,53.59,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,4261,2016-12-07 14:25:02:886
0.0163,9.9896,0.71,0.0136,9.8067,-0.3269,-19.68,-7.26,39.24,335.1,-88.09,-177.61,54.795,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,4512,2016-12-07 14:25:03:137
0.0354,9.5969,-0.7287,0.0,9.8067,-0.2452,-18.78,-7.14,39.3,333.92,-88.57,-180.0,54.795,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,4762,2016-12-07 14:25:03:387
-0.0795,9.731,-0.8595,0.0136,9.8067,-0.2315,-18.42,-7.38,39.18,333.92,-88.65,-180.0,52.23,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,5012,2016-12-07 14:25:03:637
0.112,9.8076,0.5325,0.0136,9.8067,-0.2179,-18.18,-7.26,39.36,338.71,-88.72,-176.42,54.58,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,5261,2016-12-07 14:25:03:886
-0.204,9.9417,1.0277,0.0136,9.8067,-0.1771,-17.94,-7.2,39.54,338.72,-88.72,-176.42,59.497,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,5512,2016-12-07 14:25:04:137
-0.1753,9.8555,1.2332,0.0136,9.8067,-0.0136,-17.94,-7.2,40.08,343.88,-89.44,-171.87,59.497,39.366226,16.227823,793.55,677.397771698936,0.0,9.677419,,14 / 24,5762,2016-12-07 14:25:04:387
