ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.0163,-0.2289,9.5479,-0.2724,-0.3133,9.8067,-0.4495,-0.1498,0.0545,2.88,-14.4,-12.84,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,5,2017-05-05 09:34:20:043
0.0163,-0.2289,9.5479,-0.2724,-0.3133,9.8067,-0.4495,-0.1498,0.0545,2.88,-14.4,-12.84,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,14,2017-05-05 09:34:20:052
-0.5392,-0.3247,9.8655,-0.2996,-0.3133,9.8067,0.3133,0.0953,-0.2588,2.82,-14.76,-13.14,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,24,2017-05-05 09:34:20:062
0.2557,-0.3055,9.4171,-0.2996,-0.3133,9.8067,0.3133,0.0953,-0.2588,2.82,-14.76,-13.14,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,34,2017-05-05 09:34:20:072
0.2557,-0.3055,9.4171,-0.2996,-0.3133,9.8067,-0.2315,0.0,0.0545,2.88,-15.06,-13.02,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,44,2017-05-05 09:34:20:082
0.3898,-0.2002,9.333,-0.2996,-0.3133,9.8067,-0.2315,0.0,0.0545,2.88,-15.06,-13.02,190.37,1.83,1.59,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,54,2017-05-05 09:34:20:092
0.3898,-0.2002,9.333,-0.2996,-0.3133,9.8067,-0.5993,-0.1226,0.2179,2.58,-14.76,-13.02,189.58,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,64,2017-05-05 09:34:20:102
0.1312,-0.2002,9.3704,-0.2996,-0.3133,9.8067,0.681,0.1226,-0.4767,2.58,-15.0,-13.02,189.58,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,74,2017-05-05 09:34:20:112
0.1312,-0.2002,9.3704,-0.2996,-0.3133,9.8067,0.681,0.1226,-0.4767,2.58,-15.0,-13.02,189.58,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,84,2017-05-05 09:34:20:122
-0.271,-0.2672,9.8095,-0.2996,-0.3133,9.8067,0.4222,0.1226,-0.4359,2.94,-14.7,-12.84,189.58,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,94,2017-05-05 09:34:20:132
0.0354,-0.3342,9.4638,-0.2996,-0.3133,9.8067,0.4222,0.1226,-0.4359,2.94,-14.7,-12.84,189.58,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,104,2017-05-05 09:34:20:142
0.0354,-0.3342,9.4638,-0.2996,-0.3133,9.8067,0.0409,0.0545,0.0,2.82,-14.4,-12.6,190.23,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,114,2017-05-05 09:34:20:152
0.3706,-0.181,9.333,-0.2996,-0.3133,9.8067,0.3269,-0.0136,-0.3405,2.7,-14.1,-12.78,190.23,1.83,1.75,45.97,39.353455,16.219633,283.0,225.68573,0.0,3.0,,9 / 19,124,2017-05-05 09:34:20:162
