ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.936,-0.516,9.669,0.926,-0.518,9.752,0.027,0.109,0.15,1.7,-12.8,-33.4,195.7,3.0,-5.3,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,5,2017-05-30 21:27:58:157
0.878,-0.478,9.707,0.926,-0.504,9.752,0.0,0.0,-0.082,1.4,-12.7,-33.1,195.6,3.0,-5.4,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,16,2017-05-30 21:27:58:168
0.859,-0.593,9.539,0.926,-0.504,9.752,-0.054,0.027,-0.041,1.2,-12.8,-33.0,195.6,3.0,-5.4,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,26,2017-05-30 21:27:58:178
0.859,-0.593,9.539,0.926,-0.504,9.752,-0.054,0.027,-0.041,1.2,-12.8,-33.0,195.6,3.0,-5.4,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,36,2017-05-30 21:27:58:188
0.84,-0.554,9.361,0.926,-0.504,9.752,-0.068,-0.082,-0.218,1.0,-12.8,-33.1,195.6,3.0,-5.4,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,46,2017-05-30 21:27:58:198
0.84,-0.554,9.361,0.926,-0.504,9.752,-0.068,-0.082,-0.218,1.0,-12.8,-33.1,195.6,3.0,-5.4,60.58,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,56,2017-05-30 21:27:58:208
0.936,-0.487,9.8,0.926,-0.504,9.752,-0.095,-0.041,-0.395,1.1,-12.8,-33.1,195.7,2.9,-5.4,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,65,2017-05-30 21:27:58:217
0.811,-0.574,9.417,0.913,-0.49,9.752,0.014,0.014,0.054,1.1,-12.8,-33.5,195.7,2.9,-5.4,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,76,2017-05-30 21:27:58:228
0.811,-0.574,9.417,0.913,-0.49,9.752,0.014,0.014,0.054,1.1,-12.8,-33.5,195.7,2.9,-5.4,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,86,2017-05-30 21:27:58:238
0.878,-0.392,9.837,0.913,-0.49,9.752,-0.109,-0.082,-0.341,1.6,-12.8,-33.5,195.7,2.9,-5.4,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,96,2017-05-30 21:27:58:248
0.945,-0.612,9.464,0.913,-0.49,9.752,-0.041,0.109,0.082,1.6,-12.8,-33.5,199.4,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,106,2017-05-30 21:27:58:258
0.945,-0.612,9.464,0.913,-0.49,9.752,-0.041,0.109,0.082,1.6,-12.8,-33.5,199.4,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,116,2017-05-30 21:27:58:268
1.022,-0.42,9.894,0.913,-0.49,9.752,0.027,-0.109,-0.286,1.7,-12.6,-33.5,199.4,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,125,2017-05-30 21:27:58:277
1.022,-0.42,9.894,0.913,-0.49,9.752,0.027,-0.109,-0.286,1.7,-12.6,-33.5,199.4,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,136,2017-05-30 21:27:58:288
0.859,-0.535,9.492,0.926,-0.49,9.752,0.095,0.082,0.136,1.6,-12.6,-33.5,199.1,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,146,2017-05-30 21:27:58:298
0.859,-0.535,9.492,0.926,-0.49,9.752,0.095,0.082,0.136,1.6,-12.6,-33.5,199.1,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,156,2017-05-30 21:27:58:308
0.936,-0.487,9.632,0.913,-0.49,9.752,0.068,-0.054,-0.095,1.6,-12.6,-33.5,199.1,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,166,2017-05-30 21:27:58:318
0.936,-0.411,9.51,0.913,-0.49,9.752,0.014,0.014,-0.123,1.1,-12.7,-33.7,199.1,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,176,2017-05-30 21:27:58:328
0.936,-0.411,9.51,0.913,-0.49,9.752,0.014,0.014,-0.123,1.1,-12.7,-33.7,199.1,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,186,2017-05-30 21:27:58:338
0.897,-0.602,9.212,0.913,-0.49,9.752,0.014,0.082,-0.245,1.5,-12.4,-33.8,200.7,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,196,2017-05-30 21:27:58:348
0.897,-0.602,9.212,0.913,-0.49,9.752,0.014,0.082,-0.245,1.5,-12.4,-33.8,200.7,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,206,2017-05-30 21:27:58:358
0.907,-0.42,9.772,0.913,-0.477,9.752,-0.027,-0.123,-0.545,1.3,-12.5,-33.8,200.7,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,216,2017-05-30 21:27:58:368
0.907,-0.42,9.772,0.913,-0.477,9.752,-0.027,-0.123,-0.545,1.3,-12.5,-33.8,200.7,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,226,2017-05-30 21:27:58:378
0.897,-0.497,9.408,0.913,-0.477,9.752,-0.014,0.068,0.014,1.0,-12.6,-34.0,200.7,2.9,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,236,2017-05-30 21:27:58:388
0.84,-0.641,9.37,0.913,-0.477,9.752,-0.027,-0.014,-0.341,1.0,-12.7,-34.1,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,246,2017-05-30 21:27:58:398
0.888,-0.507,9.847,0.913,-0.477,9.752,-0.082,-0.163,-0.381,1.0,-12.8,-34.1,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,256,2017-05-30 21:27:58:408
0.888,-0.507,9.847,0.913,-0.477,9.752,-0.082,-0.163,-0.381,1.0,-12.8,-34.1,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,266,2017-05-30 21:27:58:418
0.859,-0.478,9.464,0.913,-0.477,9.752,-0.027,-0.027,0.095,0.8,-13.2,-34.3,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,276,2017-05-30 21:27:58:428
0.859,-0.478,9.464,0.913,-0.477,9.752,-0.027,-0.027,0.095,0.8,-13.2,-34.3,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,286,2017-05-30 21:27:58:438
1.031,-0.334,9.884,0.913,-0.477,9.752,-0.054,0.0,-0.286,0.8,-13.4,-34.3,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,296,2017-05-30 21:27:58:448
1.003,-0.554,9.426,0.913,-0.49,9.752,0.109,0.163,0.136,1.2,-13.4,-34.0,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,306,2017-05-30 21:27:58:458
1.003,-0.554,9.426,0.913,-0.49,9.752,0.109,0.163,0.136,1.2,-13.4,-34.0,195.9,2.8,-5.3,48.81,39.34715,16.1939,337.0,299.3918152,1.4,3.0,330.4,10 / 22,316,2017-05-30 21:27:58:468
