ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,45.335,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,15,2017-03-23 14:54:50:209
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,45.335,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,25,2017-03-23 14:54:50:219
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,36,2017-03-23 14:54:50:230
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,48,2017-03-23 14:54:50:242
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,56,2017-03-23 14:54:50:250
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,65,2017-03-23 14:54:50:259
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,76,2017-03-23 14:54:50:270
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,86,2017-03-23 14:54:50:280
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,95,2017-03-23 14:54:50:289
-0.21356,9.92253,-1.27056,-0.08172,9.75217,-1.11687,19.62,-29.64,15.48,54.148,-83.436,174.428,48.5883,39.353394,16.219994,,737.5423311735578,,134.45483,,0 / 0,110,2017-03-23 14:54:50:304
