ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.33232,-0.11396,10.21117,0.46309,-0.05448,9.80665,24.72,16.62,-82.8,299.803,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,14,2017-04-06 09:11:04:166
0.33232,-0.11396,10.21117,0.46309,-0.05448,9.80665,24.72,16.62,-82.8,299.803,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,23,2017-04-06 09:11:04:175
0.58131,0.05842,9.36102,0.46309,-0.05448,9.80665,24.6,16.74,-82.08,299.803,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,34,2017-04-06 09:11:04:186
0.58131,0.05842,9.36102,0.46309,-0.05448,9.80665,24.9,16.8,-81.78,299.803,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,44,2017-04-06 09:11:04:196
0.35147,-0.15227,10.15512,0.46309,-0.05448,9.80665,24.9,16.8,-81.78,299.803,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,54,2017-04-06 09:11:04:206
0.35147,-0.15227,10.15512,0.46309,-0.05448,9.80665,25.08,16.68,-81.84,299.852,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,64,2017-04-06 09:11:04:216
0.6292,0.01053,9.41708,0.46309,-0.05448,9.80665,24.96,16.62,-81.84,299.852,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,74,2017-04-06 09:11:04:226
0.6292,0.01053,9.41708,0.46309,-0.05448,9.80665,24.96,16.62,-81.84,299.852,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,84,2017-04-06 09:11:04:236
0.37062,-0.181,10.13643,0.46309,-0.05448,9.80665,24.78,16.62,-81.72,299.852,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,93,2017-04-06 09:11:04:245
0.37062,-0.181,10.13643,0.46309,-0.05448,9.80665,24.78,16.62,-81.72,299.852,0.318,-2.704,45.9753,39.351048,16.22401,858.065,NaN,0.936,116.129036,,8 / 19,104,2017-04-06 09:11:04:256
